data,pose
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image1,"[ 9.99980747e-01 -1.74420141e-16  8.63923580e-17  0.00000000e+00
 -1.74420141e-16  9.99980747e-01 -8.16984592e-17  0.00000000e+00
  8.63923580e-17 -8.16984592e-17  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image2,"[ 9.99979207e-01 -1.65932859e-03 -5.71200097e-04  2.47252202e-04
  1.72034681e-03  9.91175791e-01  1.32398726e-01  1.15680588e-02
  3.46473387e-04 -1.32399505e-01  9.91196203e-01  1.63065328e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image3,"[ 9.99979438e-01 -1.52729519e-03 -5.34635550e-04  1.97091331e-04
  1.61410777e-03  9.64840541e-01  2.62760249e-01  2.55944728e-02
  1.14527795e-04 -2.62760768e-01  9.64860320e-01  3.05992377e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image4,"[ 9.99979401e-01 -1.62477981e-03 -2.28825802e-04  1.36154071e-04
  1.58594566e-03  9.21333981e-01  3.88723017e-01  4.13872894e-02
 -4.20772423e-04 -3.88722857e-01  9.21353056e-01  4.29136427e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image5,"[ 9.99979568e-01 -1.51984994e-03 -2.20762950e-04  1.13990204e-04
  1.42135698e-03  8.61406624e-01  5.07880959e-01  5.85694116e-02
 -5.81747375e-04 -5.07880673e-01  8.61424353e-01  5.30705682e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image6,"[ 9.99979928e-01 -1.17142352e-03 -5.15616153e-04  1.49452050e-04
  1.23955901e-03  7.86091991e-01  6.18083081e-01  7.68419190e-02
 -3.18721466e-04 -6.18083213e-01  7.86107934e-01  6.08825076e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image7,"[ 9.99980070e-01 -1.15763661e-03 -1.13643686e-04  1.29485463e-05
  8.88180534e-04  6.96812271e-01  7.17233064e-01  9.61010081e-02
 -7.51121397e-04 -7.17232680e-01  6.96826244e-01  6.60296286e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image8,"[ 9.99980380e-01 -8.05814535e-04 -2.89597915e-04  1.20607638e-05
  7.12261459e-04  5.95067330e-01  8.03659315e-01  1.15800849e-01
 -4.75279250e-04 -8.03659227e-01  5.95079143e-01  6.86649956e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image9,"[ 9.99980234e-01 -5.61421636e-04 -8.43175722e-04 -3.51440985e-05
  1.00944198e-03  4.82789482e-01  8.75722306e-01  1.35741146e-01
 -8.45747081e-05 -8.75722707e-01  4.82799096e-01  6.85709570e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image10,"[ 9.99980465e-01 -4.68721470e-04 -5.85809077e-04 -1.58617920e-04
  7.15773634e-04  3.62089584e-01  9.32131344e-01  1.55495153e-01
 -2.24798937e-04 -9.32131501e-01  3.62096789e-01  6.58177069e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image11,"[ 9.99980387e-01 -2.63786172e-04 -8.06161642e-04 -6.95358684e-05
  8.45566199e-04  2.34975156e-01  9.71990558e-01  1.74750866e-01
 -6.69710010e-05 -9.71990890e-01  2.34979818e-01  6.06560472e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image12,"[ 9.99980566e-01 -2.64403519e-04 -5.39679741e-04 -1.39104371e-04
  5.64175865e-04  1.03660760e-01  9.94602769e-01  1.93108194e-01
 -2.07036846e-04 -9.94602894e-01  1.03662887e-01  5.28247107e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image13,"[ 9.99980489e-01 -3.30107059e-04 -6.37531718e-04 -1.13316177e-04
  6.27485645e-04 -2.95692132e-02  9.99552899e-01  2.10288309e-01
 -3.48817495e-04 -9.99553041e-01 -2.95695677e-02  4.26783115e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image14,"[ 9.99980592e-01 -2.53063625e-04 -4.95358554e-04 -1.08813689e-04
  4.47725345e-04 -1.62262696e-01  9.86737481e-01  2.25926412e-01
 -3.30091933e-04 -9.86737550e-01 -1.62265681e-01  3.03413141e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image15,"[ 9.99980659e-01 -7.15582965e-05 -4.13997759e-04 -1.03529633e-04
  3.75046783e-04 -2.92041991e-01  9.56394500e-01  2.39783099e-01
 -1.89346337e-04 -9.56394571e-01 -2.92047562e-01  1.60655720e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
/home/alboalby00/catkin_ws/src/voxel_carving/images/around_X/image16,"[ 9.99980224e-01 -2.97656117e-04 -9.78432309e-04  2.45488903e-05
  7.65222301e-04 -4.16925119e-01  9.08928083e-01  2.51617187e-01
 -6.78494074e-04 -9.08928356e-01 -4.16932701e-01  1.61644137e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]"
